,STATE,CONSTITUENCY,NAME,WINNER,PARTY,SYMBOL,GENDER,CRIMINAL CASES,AGE,CATEGORY,EDUCATION,ASSETS,LIABILITIES,GENERAL VOTES,POSTAL VOTES,TOTAL VOTES,OVER TOTAL ELECTORS IN CONSTITUENCY,OVER TOTAL VOTES POLLED IN CONSTITUENCY,TOTAL ELECTORS
1249,Andhra Pradesh,KURNOOL,K. PRABHAKARA REDDY,0,CPI(M),"Hammer, Sickle and Star",MALE,1,58,GENERAL,Graduate Professional,1659077,85000,18964,101,19065,1.212008323,1.601196635,1573009
1250,Haryana,KURUKSHETRA,NAYAB SINGH,1,BJP,Lotus,MALE,0,49,GENERAL,Graduate Professional,35785621,5720000,686588,2041,688629,41.55038058,55.93312026,1657335
1251,Haryana,KURUKSHETRA,NIRMAL SINGH,0,INC,Hand,MALE,1,66,GENERAL,Graduate,126385687,704496,303722,316,304038,18.34499362,24.69514647,1657335
1252,Haryana,KURUKSHETRA,SHASHI,0,BSP,Elephant,FEMALE,0,59,GENERAL,Graduate Professional,54861000,0,75533,92,75625,4.563048509,6.142556034,1657335
1253,Haryana,KURUKSHETRA,JAI BHAGWAN SHARMA (DD),0,JNJP,Chappals,MALE,0,57,GENERAL,Graduate,134293739,4373215,68437,76,68513,4.133925851,5.564891789,1657335
1254,Haryana,KURUKSHETRA,ARJUN SINGH CHAUTALA,0,INLD,Spectacles,MALE,0,26,GENERAL,12th Pass,63059996,1748226,60574,105,60679,3.661239279,4.928583902,1657335
1255,Uttar Pradesh,KUSHI NAGAR,VIJAY KUMAR DUBEY,1,BJP,Lotus,MALE,2,50,GENERAL,12th Pass,21860780,316847,595508,1531,597039,33.8925523,56.68222715,1761564
1256,Uttar Pradesh,KUSHI NAGAR,N.P. KUSHWAHA ALIAS NATHUNI PRASAD KUSHWAHA,0,SP,Bicycle,MALE,0,65,GENERAL,Post Graduate,37474062,4000000,257776,1703,259479,14.73003535,24.63465137,1761564
1257,Uttar Pradesh,KUSHI NAGAR,KUNWER RATANJIT PRATAP NARAYAN SINGH,0,INC,Hand,MALE,0,55,GENERAL,Graduate,295474005,0,145495,656,146151,8.296661376,13.87541548,1761564
1258,Jammu & Kashmir,LADAKH,Jamyang Tsering Namgyal,1,BJP,Lotus,MALE,1,33,ST,Graduate,981904,0,41315,1599,42914,23.94326906,33.69768355,179232
1259,Jammu & Kashmir,LADAKH,Sajjad Hussain,0,IND,Battery torch,MALE,0,37,ST,Post Graduate,109000,0,31552,432,31984,17.84502767,25.1150373,179232
1260,Jammu & Kashmir,LADAKH,Asgar Ali Karbalai,0,IND,Cup & Saucer,MALE,0,54,ST,10th Pass,2729608,0,29069,296,29365,16.38379307,23.0585002,179232
1261,Jammu & Kashmir,LADAKH,Rigzin Spalbar,0,INC,Hand,MALE,0,61,ST,Graduate,58318908,8765000,20447,794,21241,11.85112034,16.67923047,179232
1262,Assam,LAKHIMPUR,PRADAN BARUAH,1,BJP,Lotus,MALE,0,53,ST,12th Pass,14307978,5839285,774017,2389,776406,45.45667978,60.47011176,1708013
1263,Assam,LAKHIMPUR,ANIL BORGOHAIN,0,INC,Hand,MALE,0,51,GENERAL,10th Pass,51185000,0,425002,853,425855,24.93277276,33.16756883,1708013
1265,Assam,LAKHIMPUR,ARUP KALITA,0,CPI(M),Ears of Corn And Sickle,MALE,0,51,GENERAL,Graduate Professional,2519069,0,13357,21,13378,0.783249308,1.041940886,1708013
1266,Lakshadweep,LAKSHADWEEP,MOHAMMED FAIZAL PP,1,NCP,Clock,MALE,2,43,ST,Post Graduate,938641,0,22796,55,22851,41.40499012,48.59226811,55189
1267,Lakshadweep,LAKSHADWEEP,HAMDULLAH SAYEED,0,INC,Hand,MALE,0,36,ST,Graduate Professional,95047817,445771,21980,48,22028,39.91375093,46.84217242,55189
